SSID,Signal Strength (dBm),X Position,Y Position
ICTLab,-80.0,0.0,0.0
ICTLab 5GHz,-57.0,0.0,0.0
ICTLab Students,-81.0,0.0,0.0
USTH_Guest1,-70.0,0.0,0.0
USTH_Guest2,-81.0,0.0,0.0
USTH_Guest3,-72.0,0.0,0.0
USTH_Guest4,-74.0,0.0,0.0
USTH_Guest6,-69.0,0.0,0.0
USTH_Guest7,-79.0,0.0,0.0
USTH_Guest8,-83.0,0.0,0.0
USTH_Guest9,-76.0,0.0,0.0
USTH_Guest10,-79.0,0.0,0.0
USTH_MGMT1,-80.0,0.0,0.0
USTH_MGMT2,-82.0,0.0,0.0
USTH_MGMT3,-73.0,0.0,0.0
USTH_MGMT4,-74.0,0.0,0.0
USTH_MGMT5,-71.0,0.0,0.0
USTH_MGMT6,-82.0,0.0,0.0
USTH_MGMT7,-71.0,0.0,0.0
USTH_MGMT8,-58.0,0.0,0.0
USTH_MGMT9,-67.0,0.0,0.0
USTH_MGMT10,-80.0,0.0,0.0
USTH_MGMT11,-76.0,0.0,0.0
USTH_Office1,-78.0,0.0,0.0
USTH_Office2,-82.0,0.0,0.0
USTH_Office3,-80.0,0.0,0.0
USTH_Office4,-72.0,0.0,0.0
USTH_Office5,-82.0,0.0,0.0
USTH_Office6,-72.0,0.0,0.0
USTH_Office7,-81.0,0.0,0.0
USTH_Office8,-57.0,0.0,0.0
USTH_Office9,-77.0,0.0,0.0
USTH_Office10,-74.0,0.0,0.0
USTH_Office11,-80.0,0.0,0.0
USTH_Office12,-76.0,0.0,0.0
USTH_Student2,-79.0,0.0,0.0
USTH_Student3,-67.0,0.0,0.0
USTH_Student4,-82.0,0.0,0.0
USTH_Student6,-70.0,0.0,0.0
USTH_Student7,-57.0,0.0,0.0
USTH_Student9,-71.0,0.0,0.0
USTH_Student10,-80.0,0.0,0.0
ICTLab,-74.0,0.0,0.0
ICTLab 5GHz,-80.0,0.0,0.0
ICTLab Guests,-80.0,0.0,0.0
ICTLab Students,-80.0,0.0,0.0
USTH-Rector Board,-76.0,0.0,0.0
USTH_Guest1,-69.0,0.0,0.0
USTH_Guest2,-80.0,0.0,1.0
USTH_Guest3,-57.0,0.0,1.0
USTH_Guest5,-81.0,0.0,1.0
USTH_Guest7,-70.0,0.0,1.0
USTH_Guest8,-81.0,0.0,1.0
USTH_Guest9,-72.0,0.0,1.0
USTH_Guest10,-74.0,0.0,1.0
USTH_MGMT2,-69.0,0.0,1.0
USTH_MGMT3,-79.0,0.0,1.0
USTH_MGMT4,-83.0,0.0,1.0
USTH_MGMT5,-76.0,0.0,1.0
USTH_MGMT6,-79.0,0.0,1.0
USTH_MGMT7,-80.0,0.0,1.0
USTH_MGMT8,-82.0,0.0,1.0
USTH_MGMT9,-73.0,0.0,1.0
USTH_MGMT10,-74.0,0.0,1.0
USTH_MGMT11,-71.0,0.0,1.0
USTH_Office1,-82.0,0.0,1.0
USTH_Office2,-71.0,0.0,1.0
USTH_Office3,-58.0,0.0,1.0
USTH_Office4,-67.0,0.0,1.0
USTH_Office5,-80.0,0.0,1.0
USTH_Office6,-76.0,0.0,1.0
USTH_Office7,-78.0,0.0,1.0
USTH_Office8,-82.0,0.0,1.0
USTH_Office9,-80.0,0.0,1.0
USTH_Office10,-72.0,0.0,1.0
USTH_Office11,-82.0,0.0,1.0
USTH_Office12,-72.0,0.0,1.0
USTH_Student1,-81.0,0.0,1.0
USTH_Student2,-57.0,0.0,1.0
USTH_Student3,-77.0,0.0,1.0
USTH_Student4,-74.0,0.0,1.0
USTH_Student5,-80.0,0.0,1.0
USTH_Student6,-76.0,0.0,1.0
USTH_Student8,-79.0,0.0,1.0
USTH_Student9,-67.0,0.0,1.0
USTH_Student10,-82.0,0.0,1.0
ICTLab 5GHz,-70.0,0.0,1.0
ICTLab Guests,-57.0,0.0,1.0
