SSID,Signal Strength (dBm),X Position,Y Position
ICTLab,-80.0,0.0,0.0
ICTLab 5GHz,-57.0,0.0,0.0
ICTLab Guests,-81.0,0.0,0.0
ICTLab Students,-70.0,0.0,0.0
USTH-Rector Board,-81.0,0.0,0.0
USTH_Guest1,-72.0,0.0,0.0
USTH_Guest2,-74.0,0.0,0.0
USTH_Guest3,-69.0,0.0,0.0
USTH_Guest4,-79.0,0.0,0.0
USTH_Guest5,-83.0,0.0,0.0
USTH_Guest6,-76.0,0.0,0.0
USTH_Guest7,-79.0,0.0,0.0
USTH_Guest8,-80.0,0.0,0.0
USTH_Guest9,-82.0,0.0,0.0
USTH_Guest10,-73.0,0.0,0.0
USTH_MGMT1,-74.0,0.0,0.0
USTH_MGMT2,-71.0,0.0,0.0
USTH_MGMT3,-82.0,0.0,0.0
USTH_MGMT4,-71.0,0.0,0.0
USTH_MGMT5,-58.0,0.0,0.0
USTH_MGMT6,-67.0,0.0,0.0
USTH_MGMT7,-80.0,0.0,0.0
USTH_MGMT8,-76.0,0.0,0.0
USTH_MGMT9,-78.0,0.0,0.0
USTH_MGMT10,-82.0,0.0,0.0
USTH_MGMT11,-80.0,0.0,0.0
USTH_Office1,-72.0,0.0,0.0
USTH_Office2,-82.0,0.0,0.0
USTH_Office3,-72.0,0.0,0.0
USTH_Office4,-81.0,0.0,0.0
USTH_Office5,-57.0,0.0,0.0
USTH_Office6,-77.0,0.0,0.0
USTH_Office7,-74.0,0.0,0.0
USTH_Office8,-80.0,0.0,0.0
USTH_Office9,-76.0,0.0,0.0
USTH_Office10,-79.0,0.0,0.0
USTH_Office11,-67.0,0.0,0.0
USTH_Office12,-82.0,0.0,0.0
USTH_Student1,-70.0,0.0,0.0
USTH_Student2,-57.0,0.0,0.0
USTH_Student3,-71.0,0.0,0.0
USTH_Student4,-80.0,0.0,0.0
USTH_Student5,-74.0,0.0,0.0
USTH_Student6,-80.0,0.0,0.0
USTH_Student7,-80.0,0.0,0.0
USTH_Student8,-80.0,0.0,0.0
USTH_Student9,-76.0,0.0,0.0
USTH_Student10,-69.0,0.0,0.0
ICTLab,-80.0,0.0,1.0
ICTLab 5GHz,-57.0,0.0,1.0
ICTLab Guests,-81.0,0.0,1.0
ICTLab Students,-70.0,0.0,1.0
USTH-Rector Board,-81.0,0.0,1.0
USTH_Guest1,-72.0,0.0,1.0
USTH_Guest2,-74.0,0.0,1.0
USTH_Guest3,-69.0,0.0,1.0
USTH_Guest4,-79.0,0.0,1.0
USTH_Guest5,-83.0,0.0,1.0
USTH_Guest6,-76.0,0.0,1.0
USTH_Guest7,-79.0,0.0,1.0
USTH_Guest8,-80.0,0.0,1.0
USTH_Guest9,-82.0,0.0,1.0
USTH_Guest10,-73.0,0.0,1.0
USTH_MGMT1,-74.0,0.0,1.0
USTH_MGMT2,-71.0,0.0,1.0
USTH_MGMT3,-82.0,0.0,1.0
USTH_MGMT4,-71.0,0.0,1.0
USTH_MGMT5,-58.0,0.0,1.0
USTH_MGMT6,-67.0,0.0,1.0
USTH_MGMT7,-80.0,0.0,1.0
USTH_MGMT8,-76.0,0.0,1.0
USTH_MGMT9,-78.0,0.0,1.0
USTH_MGMT10,-82.0,0.0,1.0
USTH_MGMT11,-80.0,0.0,1.0
USTH_Office1,-72.0,0.0,1.0
USTH_Office2,-82.0,0.0,1.0
USTH_Office3,-72.0,0.0,1.0
USTH_Office4,-81.0,0.0,1.0
USTH_Office5,-57.0,0.0,1.0
USTH_Office6,-77.0,0.0,1.0
USTH_Office7,-74.0,0.0,1.0
USTH_Office8,-80.0,0.0,1.0
USTH_Office9,-76.0,0.0,1.0
USTH_Office10,-79.0,0.0,1.0
USTH_Office11,-67.0,0.0,1.0
USTH_Office12,-82.0,0.0,1.0
USTH_Student1,-70.0,0.0,1.0
